,publishing_day,publishing_hour,days_to_trending,title_length,category_name
160,Fri,21,228,38,Education
161,Wed,13,6,77,Entertainment
162,Thu,14,5,43,Music
163,Thu,9,5,44,Autos & Vehicles
164,Thu,18,5,84,Music
165,Wed,22,6,22,Music
166,Wed,18,6,46,Entertainment
167,Thu,23,5,32,Pets & Animals
168,Fri,20,4,78,Entertainment
169,Fri,8,32,23,Film & Animation
170,Thu,15,5,46,Music
171,Thu,3,5,24,Howto & Style
172,Wed,22,6,37,Entertainment
173,Fri,4,4,89,Sports
174,Wed,20,6,58,Education
175,Sat,20,10,35,Science & Technology
176,Tue,19,7,38,Science & Technology
177,Thu,16,5,28,Comedy
178,Thu,17,5,29,Entertainment
179,Thu,18,5,48,Howto & Style
180,Tue,18,7,39,People & Blogs
181,Thu,19,5,60,Entertainment
182,Thu,16,5,46,People & Blogs
183,Wed,18,6,35,Howto & Style
184,Tue,22,7,84,News & Politics
185,Wed,21,6,74,Entertainment
186,Thu,1,5,55,Comedy
187,Wed,18,6,43,News & Politics
188,Thu,5,5,35,Music
189,Wed,18,6,38,Howto & Style
190,Wed,14,6,52,Music
191,Wed,22,6,43,People & Blogs
192,Thu,18,5,18,People & Blogs
193,Wed,15,6,93,Sports
194,Thu,7,5,88,Sports
195,Wed,20,6,62,News & Politics
196,Wed,0,6,93,Entertainment
197,Wed,15,6,51,Autos & Vehicles
198,Wed,21,6,45,People & Blogs
199,Wed,17,6,48,Science & Technology
200,Tue,15,1,54,Comedy
201,Tue,16,1,36,Comedy
202,Tue,18,1,44,Entertainment
203,Tue,0,1,43,Science & Technology
204,Tue,12,1,21,Howto & Style
205,Tue,12,1,57,Science & Technology
206,Tue,4,1,46,Comedy
207,Tue,18,1,27,Comedy
208,Tue,8,1,34,Comedy
209,Mon,20,2,16,Science & Technology
210,Tue,18,1,32,Film & Animation
211,Tue,12,1,67,Entertainment
212,Tue,21,1,63,News & Politics
213,Tue,21,1,31,Comedy
214,Tue,21,1,56,Howto & Style
215,Wed,1,0,79,Entertainment
216,Wed,3,0,65,Music
217,Mon,17,2,34,People & Blogs
218,Mon,20,2,48,Film & Animation
219,Mon,20,2,49,Entertainment
220,Tue,16,1,63,Sports
221,Mon,7,2,62,Entertainment
222,Tue,23,1,38,Music
223,Mon,19,2,21,Science & Technology
224,Tue,16,1,72,Howto & Style
225,Mon,14,2,65,Film & Animation
226,Tue,19,1,37,Entertainment
227,Tue,14,1,40,Science & Technology
228,Tue,22,1,89,Entertainment
229,Mon,17,2,36,Education
230,Tue,10,1,51,Comedy
231,Mon,11,2,32,Entertainment
232,Mon,16,2,52,Education
233,Tue,20,1,25,Entertainment
234,Mon,17,2,42,Music
235,Mon,15,2,34,Education
236,Tue,6,1,59,Entertainment
237,Mon,14,2,32,Education
238,Sun,19,3,53,Comedy
239,Tue,14,1,50,Entertainment
240,Tue,17,1,100,Education
241,Wed,3,0,46,Entertainment
242,Mon,13,2,53,News & Politics
243,Mon,14,2,28,Comedy
244,Tue,4,1,72,Sports
245,Mon,15,2,50,Music
246,Mon,13,2,52,Entertainment
247,Sun,18,3,24,Entertainment
248,Tue,14,1,34,Howto & Style
249,Mon,15,2,94,News & Politics
250,Thu,15,2862,42,Sports
251,Mon,3,2,78,Entertainment
252,Mon,17,2,17,Music
253,Tue,6,1,85,Sports
254,Tue,13,1,84,Entertainment
255,Sun,21,3,35,Science & Technology
256,Tue,16,1,53,Sports
257,Mon,0,2,49,Sports
258,Mon,20,2,48,Music
259,Mon,15,2,100,News & Politics
260,Tue,17,1,41,Comedy
261,Tue,13,1,66,Entertainment
262,Mon,16,2,50,Education
263,Mon,15,2,26,Science & Technology
264,Sun,5,3,41,Entertainment
265,Mon,1,2,60,Autos & Vehicles
266,Tue,17,1,99,Entertainment
267,Mon,15,2,51,Sports
268,Mon,15,2,59,News & Politics
269,Mon,15,2,57,Music
270,Sun,18,3,24,Pets & Animals
271,Sun,14,3,38,News & Politics
272,Mon,13,2,66,Entertainment
273,Mon,15,2,55,Autos & Vehicles
274,Mon,15,2,72,Howto & Style
275,Mon,2,2,54,Sports
276,Sun,17,3,48,Comedy
277,Mon,12,2,36,Science & Technology
278,Tue,16,1,54,Music
279,Sun,22,3,40,Education
280,Sun,15,3,50,Science & Technology
281,Sun,16,3,67,Howto & Style
282,Sun,0,3,41,Comedy
283,Mon,16,2,47,Howto & Style
284,Tue,15,1,95,Sports
285,Tue,16,1,45,Music
286,Sun,16,3,33,Film & Animation
287,Sun,15,3,98,News & Politics
288,Sun,23,3,31,Entertainment
289,Sun,5,3,54,Travel & Events
290,Mon,17,9,43,Entertainment
291,Mon,9,2,58,Travel & Events
292,Sun,14,3,38,Entertainment
293,Mon,17,2,35,Film & Animation
294,Mon,17,2,68,Entertainment
295,Mon,18,2,42,Sports
296,Sun,17,3,37,People & Blogs
297,Tue,6,1,21,Entertainment
298,Fri,17,5,42,Music
299,Sun,13,3,58,News & Politics
300,Mon,5,2,100,Sports
301,Sun,23,3,33,Comedy
302,Mon,0,2,27,Autos & Vehicles
303,Fri,6,208,20,People & Blogs
304,Sun,17,2362,23,Film & Animation
305,Sat,16,4,75,Music
306,Sun,0,3,48,Howto & Style
307,Mon,16,2,41,News & Politics
308,Sat,17,4,41,Entertainment
309,Sat,15,4,39,People & Blogs
310,Fri,15,5,60,Music
311,Sat,19,4,85,Entertainment
312,Fri,18,5,50,Sports
313,Mon,20,2,99,Entertainment
314,Fri,23,5,55,Entertainment
315,Sat,15,4,57,Sports
316,Sun,15,3,58,News & Politics
317,Sun,5,3,53,Music
318,Sat,1,4,52,People & Blogs
319,Sat,18,4,72,People & Blogs
320,Sat,20,4,48,Sports
321,Sat,6,4,29,Entertainment
322,Fri,15,5,38,Entertainment
323,Fri,5,5,34,Music
324,Sat,15,4,40,Science & Technology
325,Sat,1,4,45,People & Blogs
326,Fri,19,5,53,Entertainment
327,Fri,18,5,39,Comedy
328,Sun,20,3,98,News & Politics
329,Fri,7,5,45,Howto & Style
330,Thu,22,6,76,Music
331,Fri,17,5,51,Music
332,Fri,14,5,66,Music
333,Tue,20,29,76,Comedy
334,Fri,12,5,61,Entertainment
335,Sat,2,4,33,Howto & Style
336,Thu,11,6,43,Music
337,Fri,7,5,47,Science & Technology
338,Sat,15,4,48,Music
339,Fri,20,5,33,Howto & Style
340,Fri,17,5,20,People & Blogs
341,Sat,0,4,42,People & Blogs
342,Fri,23,5,56,Entertainment
343,Mon,8,2,57,Science & Technology
344,Fri,17,5,39,Entertainment
345,Sat,3,4,54,Film & Animation
346,Sun,2,3,30,Education
347,Fri,15,5,48,Music
348,Fri,17,5,82,Entertainment
349,Fri,14,5,50,Music
350,Fri,2,5,47,Entertainment
351,Fri,18,5,44,Music
352,Sun,0,3,33,Pets & Animals
353,Fri,18,5,59,Pets & Animals
354,Thu,17,6,83,Film & Animation
355,Sat,17,4,74,Entertainment
356,Sat,5,4,26,Howto & Style
357,Thu,18,6,32,Howto & Style
358,Thu,17,6,55,Film & Animation
359,Fri,16,5,80,Howto & Style
360,Thu,22,6,45,Comedy
361,Thu,22,6,57,Music
362,Fri,5,5,33,Music
363,Fri,17,5,40,Music
364,Fri,18,5,38,Howto & Style
365,Fri,3,5,42,Comedy
366,Thu,11,6,39,People & Blogs
367,Fri,5,5,29,Music
368,Thu,5,6,17,Music
369,Thu,22,6,34,Film & Animation
370,Thu,17,6,73,Music
371,Thu,21,6,33,Science & Technology
372,Thu,8,6,55,Entertainment
373,Wed,17,7,77,Sports
374,Thu,23,6,41,People & Blogs
375,Thu,7,6,70,People & Blogs
376,Thu,15,6,13,Music
377,Fri,13,5,42,Music
378,Fri,1,5,54,Howto & Style
379,Fri,13,5,48,News & Politics
380,Thu,8,6,66,Entertainment
381,Fri,8,5,48,Music
382,Fri,0,5,44,People & Blogs
383,Thu,7,909,36,Entertainment
384,Thu,22,6,46,Music
385,Thu,0,6,43,Music
386,Thu,13,6,34,Pets & Animals
387,Fri,22,5,43,Howto & Style
388,Fri,8,5,67,Music
389,Wed,17,7,41,Music
390,Wed,5,7,37,Entertainment
391,Thu,11,6,45,Entertainment
392,Thu,19,6,36,Gaming
393,Thu,2,6,87,Entertainment
394,Fri,8,5,40,News & Politics
395,Fri,8,5,41,Music
396,Thu,9,6,38,Music
397,Thu,14,6,46,Comedy
398,Thu,18,6,27,People & Blogs
399,Thu,23,6,68,Entertainment
400,Wed,14,1,30,Film & Animation
401,Wed,14,1,46,Howto & Style
402,Tue,21,2,41,People & Blogs
403,Wed,6,1,20,Entertainment
404,Tue,16,2,36,Comedy
405,Wed,20,1,14,Gaming
406,Tue,15,2,54,Comedy
407,Tue,12,2,57,Science & Technology
408,Wed,7,1,29,Entertainment
409,Tue,18,2,44,Entertainment
410,Wed,11,1,53,News & Politics
411,Wed,14,1,46,Entertainment
412,Tue,0,2,43,Science & Technology
413,Wed,5,1,53,Entertainment
414,Tue,12,2,21,Howto & Style
415,Wed,5,1,37,Music
416,Wed,13,1,32,Music
417,Wed,1,1,79,Entertainment
418,Wed,20,1,51,Entertainment
419,Wed,17,1,77,Sports
420,Tue,17,2,56,Film & Animation
421,Wed,12,1,37,Comedy
422,Tue,4,2,46,Comedy
423,Mon,20,3,16,Science & Technology
424,Wed,0,1,46,Science & Technology
425,Tue,18,2,27,Comedy
426,Wed,13,1,21,Entertainment
427,Wed,3,1,65,Music
428,Wed,15,1,60,Entertainment
429,Wed,2,1,36,Science & Technology
430,Tue,18,2,32,Film & Animation
431,Wed,10,1,55,Entertainment
432,Wed,17,1,49,Music
433,Wed,16,1,54,Education
434,Tue,12,2,67,Entertainment
435,Tue,21,2,63,News & Politics
436,Wed,2,1,95,Sports
437,Tue,22,2,89,Entertainment
438,Tue,22,2,40,Education
439,Tue,23,2,38,Music
440,Wed,15,1,51,Howto & Style
441,Tue,21,2,56,Howto & Style
442,Wed,16,1,80,Sports
443,Tue,21,2,31,Comedy
444,Wed,3,1,46,Entertainment
445,Mon,20,3,48,Film & Animation
446,Wed,17,1,58,Sports
447,Tue,16,2,63,Sports
448,Mon,17,3,34,People & Blogs
449,Tue,16,2,72,Howto & Style
450,Mon,20,3,49,Entertainment
451,Wed,7,1,27,People & Blogs
452,Tue,19,2,37,Entertainment
453,Wed,13,1,37,Film & Animation
454,Mon,7,3,62,Entertainment
455,Mon,19,3,21,Science & Technology
456,Thu,2,7,43,Sports
457,Tue,14,2,40,Science & Technology
458,Mon,17,3,36,Education
459,Wed,1,1,38,Sports
460,Tue,4,2,69,Sports
461,Wed,7,1,64,Entertainment
462,Tue,8,2,19,Film & Animation
463,Tue,15,2,24,Pets & Animals
464,Wed,8,1,36,Music
465,Wed,5,1,73,Sports
466,Mon,16,3,52,Education
467,Mon,15,3,34,Education
468,Tue,16,2,46,Entertainment
469,Mon,17,3,42,Music
470,Mon,18,3,30,Entertainment
471,Mon,11,3,32,Entertainment
472,Mon,14,3,32,Education
473,Mon,14,3,28,Comedy
474,Tue,16,2,37,Entertainment
475,Sun,19,4,53,Comedy
476,Mon,15,3,50,Music
477,Tue,13,2,84,Entertainment
478,Mon,13,3,52,Entertainment
479,Tue,16,2,53,Sports
480,Tue,3,2,63,Entertainment
481,Wed,10,1,78,Pets & Animals
482,Mon,17,3,17,Music
483,Tue,17,2,100,Education
484,Sun,18,4,24,Entertainment
485,Tue,20,2,25,Entertainment
486,Mon,3,3,78,Entertainment
487,Mon,20,3,48,Music
488,Mon,15,3,57,Music
489,Mon,9,3,58,Travel & Events
490,Mon,13,3,66,Entertainment
491,Tue,15,2,95,Sports
492,Tue,13,2,66,Entertainment
493,Tue,14,2,34,Howto & Style
494,Sun,21,4,35,Science & Technology
495,Mon,0,3,49,Sports
496,Mon,1,3,60,Autos & Vehicles
497,Tue,17,2,41,Comedy
498,Mon,15,3,94,News & Politics
499,Mon,16,3,50,Education
500,Tue,16,2,54,Music
501,Mon,15,3,26,Science & Technology
502,Sun,5,4,41,Entertainment
503,Mon,15,3,55,Autos & Vehicles
504,Sun,18,4,24,Pets & Animals
505,Tue,17,2,99,Entertainment
506,Mon,2,3,54,Sports
507,Sun,14,4,38,News & Politics
508,Thu,15,2863,42,Sports
509,Mon,15,3,100,News & Politics
510,Mon,17,3,68,Entertainment
511,Sun,16,4,67,Howto & Style
512,Mon,15,3,59,News & Politics
513,Sun,0,4,41,Comedy
514,Sun,17,4,48,Comedy
515,Mon,12,3,36,Science & Technology
516,Tue,16,2,73,Music
517,Mon,16,3,47,Howto & Style
518,Sun,15,4,50,Science & Technology
519,Mon,9,3,51,News & Politics
520,Sun,5,4,54,Travel & Events
521,Sun,16,4,33,Film & Animation
522,Sun,15,4,98,News & Politics
523,Mon,15,3,51,Sports
524,Sun,23,4,31,Entertainment
525,Sun,14,4,38,Entertainment
526,Tue,16,2,45,Music
527,Mon,17,3,35,Film & Animation
528,Mon,15,3,72,Howto & Style
529,Mon,17,10,43,Entertainment
530,Sun,17,4,37,People & Blogs
531,Mon,0,3,27,Autos & Vehicles
532,Mon,5,3,100,Sports
533,Sun,23,4,33,Comedy
534,Fri,17,6,42,Music
535,Mon,18,3,42,Sports
536,Wed,19,8,89,News & Politics
537,Sun,17,2363,23,Film & Animation
538,Fri,6,209,20,People & Blogs
539,Sat,17,5,41,Entertainment
540,Sun,0,4,48,Howto & Style
541,Sat,15,26,26,Travel & Events
542,Sun,13,4,58,News & Politics
543,Sun,5,4,53,Music
544,Sat,16,5,75,Music
545,Mon,16,3,41,News & Politics
546,Mon,20,3,45,Sports
547,Sat,20,5,48,Sports
548,Sat,19,5,85,Entertainment
549,Sat,15,5,39,People & Blogs
550,Mon,19,3,70,Entertainment
551,Mon,20,3,99,Entertainment
552,Fri,23,6,55,Entertainment
553,Sun,15,4,58,News & Politics
554,Fri,15,6,60,Music
555,Sat,1,5,52,People & Blogs
556,Mon,15,3,31,Science & Technology
557,Sat,18,5,72,People & Blogs
558,Wed,23,22,17,Film & Animation
559,Fri,5,6,34,Music
560,Fri,19,6,57,Sports
561,Sat,15,5,40,Science & Technology
562,Fri,19,6,53,Entertainment
563,Sat,1,5,45,People & Blogs
564,Sun,20,4,98,News & Politics
565,Fri,18,6,39,Comedy
566,Fri,7,6,47,Science & Technology
567,Fri,15,6,38,Entertainment
568,Fri,14,6,66,Music
569,Fri,7,6,45,Howto & Style
570,Fri,17,6,51,Music
571,Mon,8,3,57,Science & Technology
572,Fri,12,6,61,Entertainment
573,Thu,22,7,76,Music
574,Thu,11,7,43,Music
575,Sat,2,5,33,Howto & Style
576,Fri,20,6,33,Howto & Style
577,Sat,5,5,26,Howto & Style
578,Sun,0,4,33,Pets & Animals
579,Sat,0,5,42,People & Blogs
580,Thu,15,7,26,Science & Technology
581,Sat,3,5,54,Film & Animation
582,Fri,23,6,56,Entertainment
583,Fri,17,6,39,Entertainment
584,Sun,2,4,30,Education
585,Fri,17,6,82,Entertainment
586,Fri,18,6,59,Pets & Animals
587,Fri,15,6,48,Music
588,Fri,18,6,44,Music
589,Fri,2,6,47,Entertainment
590,Fri,14,6,50,Music
591,Sat,17,5,74,Entertainment
592,Tue,20,30,76,Comedy
593,Thu,17,7,83,Film & Animation
594,Thu,18,7,32,Howto & Style
595,Sat,15,5,48,Music
596,Thu,22,7,57,Music
597,Fri,17,6,20,People & Blogs
598,Fri,17,6,40,Music
599,Thu,22,7,45,Comedy
600,Thu,21,1,18,Science & Technology
601,Thu,21,1,33,Entertainment
602,Thu,6,1,51,Entertainment
603,Wed,14,2,30,Film & Animation
604,Thu,15,1,33,Music
605,Thu,14,1,67,Film & Animation
606,Thu,16,1,68,Howto & Style
607,Thu,17,1,55,Entertainment
608,Fri,5,0,41,Music
609,Thu,15,1,51,Education
610,Thu,13,1,36,Entertainment
611,Thu,7,1,83,People & Blogs
612,Thu,15,1,57,Music
613,Thu,12,1,19,News & Politics
614,Thu,15,1,39,Pets & Animals
615,Thu,8,1,47,Entertainment
616,Thu,17,1,26,Science & Technology
617,Wed,20,2,31,Comedy
618,Wed,14,2,46,Howto & Style
619,Wed,20,2,14,Gaming
620,Wed,21,2,91,Entertainment
621,Wed,23,2,25,People & Blogs
622,Thu,14,1,55,Entertainment
623,Thu,5,1,67,Comedy
624,Thu,14,1,43,Science & Technology
625,Thu,13,1,24,Science & Technology
626,Thu,11,1,23,Music
627,Wed,18,2,25,Comedy
628,Tue,21,3,41,People & Blogs
629,Wed,23,2,71,Entertainment
630,Wed,9,2,29,Entertainment
631,Tue,16,3,36,Comedy
632,Fri,4,0,94,News & Politics
633,Wed,20,2,51,Entertainment
634,Thu,15,1,77,People & Blogs
635,Wed,8,2,36,Entertainment
636,Tue,12,3,57,Science & Technology
637,Wed,5,2,37,Music
638,Wed,13,2,32,Music
639,Tue,15,3,54,Comedy
640,Thu,16,1,93,Entertainment
641,Thu,10,1,18,Music
642,Thu,5,1,32,Music
643,Wed,13,2,21,Entertainment
644,Wed,17,2,77,Sports
645,Thu,3,1,93,Sports
646,Wed,0,2,46,Science & Technology
647,Tue,18,3,44,Entertainment
648,Wed,1,2,79,Entertainment
649,Thu,2,1,44,Science & Technology
650,Tue,0,3,43,Science & Technology
651,Tue,12,3,21,Howto & Style
652,Wed,22,2,28,Gaming
653,Tue,17,3,56,Film & Animation
654,Wed,12,2,37,Comedy
655,Wed,15,2,60,Entertainment
656,Wed,22,2,41,Education
657,Wed,17,2,49,Music
658,Wed,18,2,39,Entertainment
659,Thu,3,1,94,Sports
660,Thu,0,1,62,Entertainment
661,Tue,18,3,27,Comedy
662,Wed,16,2,30,Education
663,Wed,10,2,55,Entertainment
664,Wed,16,2,54,Education
665,Wed,18,2,54,Music
666,Wed,3,2,65,Music
667,Thu,6,1,64,Sports
668,Wed,16,2,80,Sports
669,Wed,17,2,37,Entertainment
670,Tue,18,3,32,Film & Animation
671,Tue,12,3,67,Entertainment
672,Thu,17,1,26,Music
673,Thu,20,1,28,Howto & Style
674,Tue,22,3,89,Entertainment
675,Tue,23,3,38,Music
676,Thu,6,1,83,Sports
677,Wed,3,2,46,Entertainment
678,Wed,17,2,58,Sports
679,Tue,21,3,56,Howto & Style
680,Tue,21,3,31,Comedy
681,Wed,22,2,44,Comedy
682,Tue,21,3,63,News & Politics
683,Wed,7,2,27,People & Blogs
684,Mon,20,4,48,Film & Animation
685,Wed,15,2,51,Howto & Style
686,Tue,23,3,39,Entertainment
687,Tue,19,3,37,Entertainment
688,Wed,8,2,36,Music
689,Mon,17,4,34,People & Blogs
690,Mon,20,4,49,Entertainment
691,Wed,16,2,63,Howto & Style
692,Mon,19,4,21,Science & Technology
693,Mon,7,4,62,Entertainment
694,Wed,18,2,42,Music
695,Tue,14,3,40,Science & Technology
696,Mon,17,4,36,Education
697,Tue,18,3,53,Autos & Vehicles
698,Tue,16,3,12,Comedy
699,Tue,15,3,24,Pets & Animals
700,Wed,1,2,38,Sports
701,Tue,8,3,19,Film & Animation
702,Mon,16,4,52,Education
703,Mon,17,4,42,Music
704,Tue,16,3,46,Entertainment
705,Mon,15,4,34,Education
706,Tue,4,3,72,Sports
707,Mon,18,4,30,Entertainment
708,Tue,16,3,53,Sports
709,Mon,11,4,32,Entertainment
710,Mon,14,4,32,Education
711,Mon,15,4,50,Music
712,Tue,17,3,100,Education
713,Sun,19,5,53,Comedy
714,Tue,16,3,37,Entertainment
715,Mon,13,4,52,Entertainment
716,Tue,3,3,63,Entertainment
717,Mon,17,4,17,Music
718,Tue,16,3,45,Music
719,Mon,14,4,28,Comedy
720,Tue,20,3,25,Entertainment
721,Mon,3,4,78,Entertainment
722,Sun,18,5,24,Entertainment
723,Wed,10,2,78,Pets & Animals
724,Mon,1,4,60,Autos & Vehicles
725,Sun,21,5,35,Science & Technology
726,Mon,16,4,50,Education
727,Mon,0,4,49,Sports
728,Mon,15,4,94,News & Politics
729,Mon,15,4,26,Science & Technology
730,Mon,15,4,55,Autos & Vehicles
731,Mon,15,4,57,Music
732,Mon,15,4,100,News & Politics
733,Sun,18,5,24,Pets & Animals
734,Sun,5,5,41,Entertainment
735,Tue,14,3,34,Howto & Style
736,Sun,0,5,41,Comedy
737,Tue,17,3,41,Comedy
738,Sun,14,5,38,News & Politics
739,Tue,16,3,54,Music
740,Tue,15,3,95,Sports
741,Mon,12,4,36,Science & Technology
742,Mon,15,4,59,News & Politics
743,Mon,13,4,66,Entertainment
744,Mon,17,4,99,News & Politics
745,Wed,17,9,66,Howto & Style
746,Mon,2,4,54,Sports
747,Sun,5,5,54,Travel & Events
748,Sun,17,5,48,Comedy
749,Sun,16,5,33,Film & Animation
750,Mon,15,4,51,Sports
751,Sun,23,5,31,Entertainment
752,Mon,16,4,47,Howto & Style
753,Sun,14,5,38,Entertainment
754,Mon,16,4,21,Comedy
755,Mon,17,4,35,Film & Animation
756,Sun,15,5,50,Science & Technology
757,Sun,23,5,46,News & Politics
758,Tue,16,3,73,Music
759,Mon,15,4,72,Howto & Style
760,Mon,9,4,51,News & Politics
761,Mon,17,11,43,Entertainment
762,Sun,17,5,37,People & Blogs
763,Mon,5,4,100,Sports
764,Sun,23,5,33,Comedy
765,Mon,18,4,42,Sports
766,Fri,17,7,42,Music
767,Wed,19,9,89,News & Politics
768,Sun,5,5,53,Music
769,Sun,17,2364,23,Film & Animation
770,Fri,6,210,20,People & Blogs
771,Sun,13,5,58,News & Politics
772,Mon,19,4,70,Entertainment
773,Mon,16,4,41,News & Politics
774,Sat,15,27,26,Travel & Events
775,Sat,17,6,41,Entertainment
776,Sun,0,5,48,Howto & Style
777,Mon,20,4,45,Sports
778,Sat,16,6,75,Music
779,Sat,15,6,39,People & Blogs
780,Mon,20,4,99,Entertainment
781,Mon,15,4,31,Science & Technology
782,Sun,15,5,58,News & Politics
783,Fri,15,7,60,Music
784,Fri,23,7,55,Entertainment
785,Fri,5,7,34,Music
786,Sat,20,6,48,Sports
787,Wed,23,23,17,Film & Animation
788,Sat,18,6,72,People & Blogs
789,Fri,19,7,57,Sports
790,Fri,19,7,53,Entertainment
791,Fri,7,7,45,Howto & Style
792,Fri,18,7,39,Comedy
793,Sun,20,5,98,News & Politics
794,Sat,6,6,29,Entertainment
795,Fri,14,7,66,Music
796,Fri,2,7,47,Entertainment
